iter	MAE
0	0.1785226138
1	0.1737298516
2	0.1690438414
3	0.1648194603
4	0.1607229814
5	0.1567488426
6	0.1527988953
7	0.1492269846
8	0.1455258418
9	0.142398527
10	0.1397059801
11	0.1362578384
12	0.1337144466
13	0.1305375264
14	0.1277889585
15	0.1258304311
16	0.1233018084
17	0.1212637633
18	0.1185760979
19	0.1158659249
20	0.1130866579
21	0.1107675872
22	0.1081641931
23	0.1058936783
24	0.1037567892
25	0.1022548308
26	0.100822494
27	0.09940132693
28	0.09760269359
29	0.09573059474
30	0.09381971681
31	0.09269640993
32	0.09153207749
33	0.08958152794
34	0.0881232815
35	0.08672436502
36	0.08497695771
37	0.08399184001
38	0.08266828534
39	0.08104107894
40	0.08022822482
41	0.07953935548
42	0.07838902996
43	0.0769404483
44	0.07553352412
45	0.07485528124
46	0.07377038284
47	0.07272909246
48	0.07170884302
49	0.07053871199
50	0.06939272323
51	0.06828680063
52	0.06746175872
53	0.0667567909
54	0.06576875685
55	0.06531692941
56	0.06445087191
57	0.0638316342
58	0.06320431637
59	0.06286442732
60	0.06251662958
61	0.06175912092
62	0.06097066139
63	0.06066296556
64	0.05987795018
65	0.05916968388
66	0.05867945269
67	0.05834574024
68	0.05808031755
69	0.05753510126
70	0.05714541802
71	0.05638024577
72	0.05583919622
73	0.0553871727
74	0.05479023764
75	0.05415861712
76	0.05367055306
77	0.05286768745
78	0.05261682091
79	0.05193628723
80	0.05151164422
81	0.05114253716
82	0.05055050377
83	0.05014527047
84	0.04990990765
85	0.04951231296
86	0.04913193023
87	0.04857818947
88	0.04819632948
89	0.04790456426
90	0.04744737896
91	0.04719034866
92	0.04666313854
93	0.04617909256
94	0.04569571868
95	0.0454640678
96	0.04515363116
97	0.04472217332
98	0.04430480996
99	0.04410891782
100	0.04372009156
101	0.04333733158
102	0.04298934398
103	0.04277051863
104	0.04252999744
105	0.0421723601
106	0.04183005502
107	0.04159721744
108	0.04147021067
109	0.04119161429
110	0.04090577882
111	0.04070516006
112	0.04044811793
113	0.04019172888
114	0.03989932023
115	0.03966065913
116	0.03950969545
117	0.03936180363
118	0.0391618844
119	0.03902072815
120	0.03888755967
121	0.03864639534
122	0.03851563371
123	0.03838751952
124	0.03818603349
125	0.03807948615
126	0.03789291368
127	0.03768346378
128	0.03747943815
129	0.03735361498
130	0.03726291914
131	0.0371182891
132	0.0370286352
133	0.03694000461
134	0.03686366133
135	0.03672724998
136	0.03660337935
137	0.03646516823
138	0.03638174667
139	0.03625335134
140	0.03619613046
141	0.03610947819
142	0.03600277368
143	0.03589496613
144	0.03588928379
145	0.03576997169
146	0.0356783795
147	0.03559478598
148	0.03548938069
149	0.03541205364
150	0.03535364283
151	0.0352932027
152	0.03525113116
153	0.03518541807
154	0.03515075487
155	0.03509600459
156	0.03504710633
157	0.03498696382
158	0.03492599692
159	0.03488375508
160	0.03484722886
161	0.03475420311
162	0.03470123916
163	0.03466208927
164	0.0346330167
165	0.03461063367
166	0.03456387851
167	0.03449512415
168	0.03445172688
169	0.03440158436
170	0.03436785176
171	0.03435544602
172	0.03433081631
173	0.03431228571
174	0.03429074758
175	0.03427404491
176	0.0342398971
177	0.03420125586
178	0.03418278176
179	0.03417821648
180	0.03417288571
181	0.03414423459
182	0.03411370068
183	0.03408880352
184	0.03407245235
185	0.0340505112
186	0.03403234778
187	0.03399064583
188	0.03397383585
189	0.03396379411
190	0.03393613613
191	0.03390069559
192	0.03388790898
193	0.03387913615
194	0.03385954872
195	0.0338380987
196	0.03383193669
197	0.03380639285
198	0.03378454224
199	0.03376966633
